"","Rank","Company","Ticker","Sector","Industry","Profitable","Founder_is_CEO","FemaleCEO","Growth_in_Jobs","Change_in_Rank","Gained_in_Rank","Dropped_in_Rank","Newcomer_to_the_Fortune500","Global500","Best_Companies","Number_of_employees","MarketCap_March31_M","RevenuePercentChange","ProfitsPercentChange","CEO","Country","HeadquartersCity","HeadquartersState","Website","CompanyType","Footnote","Revenues","Abs_Profits","Assets","MarketCap_March31"
"1",1,"Walmart","WMT","Retailing","General Merchandisers","yes","false","false","no",0,"no","no","no","yes","no",2100000,397475,6.7,-14.6,"C. Douglas McMillon","U.S.","Bentonville","AR","www.stock.walmart.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",6.11289e+11,1.168e+10,2.43197e+11,3.97475e+11
"2",2,"Amazon","AMZN","Retailing","Internet Services and Retailing","no","false","false","no",0,"no","no","no","yes","no",1541000,1058440,9.4,-108.2,"Andrew R. Jassy","U.S.","Seattle","WA","www.amazon.com","Public","Market value as of July 17, 2023.",5.13983e+11,2.722e+09,4.62675e+11,1.05844e+12
"3",3,"Exxon Mobil","XOM","Energy","Petroleum Refining","yes","false","false","no",3,"yes","no","no","yes","no",62000,446424,44.8,141.9,"Darren W. Woods","U.S.","Irving","TX","www.exxonmobil.com","Public","Excise taxes have been deducted. Market value as of July 17, 2023.",4.1368e+11,5.574e+10,3.69067e+11,4.46424e+11
"4",4,"Apple","AAPL","Technology","Computers, Office Equipment","yes","false","false","yes",-1,"no","yes","no","yes","no",164000,2609039,7.8,5.4,"Timothy D. Cook","U.S.","Cupertino","CA","www.apple.com","Public","Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",3.94328e+11,9.9803e+10,3.52755e+11,2.609039e+12
"5",5,"UnitedHealth Group","UNH","Health Care","Health Care: Insurance and Managed Care","yes","false","false","yes",0,"no","no","no","yes","no",400000,440854,12.7,16.4,"Andrew P. Witty","U.S.","Minnetonka","MN","www.unitedhealthgroup.com","Public","Market value as of July 17, 2023.",3.24162e+11,2.012e+10,2.45705e+11,4.40854e+11
"6",6,"CVS Health","CVS","Health Care","Health Care: Pharmacy and Other Services","yes","false","true","yes",-2,"no","yes","no","yes","no",259500,95422,10.4,-47.5,"Karen S. Lynch","U.S.","Woonsocket","RI","www.cvshealth.com","Public","Market value as of July 17, 2023.",3.22467e+11,4.149e+09,2.28275e+11,9.5422e+10
"7",7,"Berkshire Hathaway","BRKA","Financials","Insurance: Property and Casualty (Stock)","no","false","false","yes",0,"no","no","no","yes","no",383000,675657,9.4,-125.4,"Warren E. Buffett","U.S.","Omaha","NE","www.berkshirehathaway.com","Public","Market value as of July 17, 2023.",3.02089e+11,2.2819e+10,9.48452e+11,6.75657e+11
"8",8,"Alphabet","GOOGL","Technology","Internet Services and Retailing","yes","false","false","yes",0,"no","no","no","yes","no",190234,1330201,9.8,-21.1,"Sundar Pichai","U.S.","Mountain View","CA","www.abc.xyz","Public","Market value as of July 17, 2023.",2.82836e+11,5.9972e+10,3.65264e+11,1.330201e+12
"9",9,"McKesson","MCK","Health Care","Wholesalers: Health Care","yes","false","false","no",0,"no","no","no","yes","no",66500,48757,10.8,NA,"Brian S. Tyler","U.S.","Irving","TX","www.mckesson.com","Public","Figures are for fiscal year ended March 31, 2023. Market value as of July 17, 2023.",2.63966e+11,1.114e+09,6.3298e+10,4.8757e+10
"10",10,"Chevron","CVX","Energy","Petroleum Refining","yes","false","false","yes",6,"yes","no","no","yes","no",43846,311093,51.6,127,"Michael K. Wirth","U.S.","San Ramon","CA","www.chevron.com","Public","Excise taxes have been deducted. Market value as of July 17, 2023.",2.46252e+11,3.5465e+10,2.57709e+11,3.11093e+11
"11",11,"AmerisourceBergen","ABC","Health Care","Wholesalers: Health Care","yes","false","false","yes",-1,"no","yes","no","yes","no",41500,32384,11.5,10.3,"Steven H. Collis","U.S.","Conshohocken","PA","www.amerisourcebergen.com","Public","Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",2.38587e+11,1.699e+09,5.6561e+10,3.2384e+10
"12",12,"Costco Wholesale","COST","Retailing","General Merchandisers","yes","false","false","yes",-1,"no","yes","no","yes","no",304000,220354,15.8,16.7,"W. Craig Jelinek","U.S.","Issaquah","WA","www.costco.com","Public","Figures are for fiscal year ended Aug. 31, 2022. Market value as of July 17, 2023.",2.26954e+11,5.844e+09,6.4166e+10,2.20354e+11
"13",13,"Microsoft","MSFT","Technology","Computer Software","yes","false","false","yes",1,"yes","no","no","yes","no",221000,2146049,18,18.7,"Satya Nadella","U.S.","Redmond","WA","www.microsoft.com","Public","Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",1.9827e+11,7.2738e+10,3.6484e+11,2.146049e+12
"14",14,"Cardinal Health","CAH","Health Care","Wholesalers: Health Care","no","false","false","no",1,"yes","no","no","yes","no",46035,19452,11.6,-252.7,"Jason Hollar","U.S.","Dublin","OH","www.cardinalhealth.com","Public","Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",1.81364e+11,9.33e+08,4.3878e+10,1.9452e+10
"15",15,"Cigna","CI","Health Care","Health Care: Pharmacy and Other Services","yes","false","false","no",-3,"no","yes","no","yes","no",70231,75901,3.7,24.3,"David M. Cordani","U.S.","Bloomfield","CT","www.thecignagroup.com","Public","Market value as of July 17, 2023.",1.80516e+11,6.668e+09,1.43932e+11,7.5901e+10
"16",16,"Marathon Petroleum","MPC","Energy","Petroleum Refining","yes","false","false","yes",3,"yes","no","no","yes","no",17800,59544,27.6,49.1,"Michael J. Hennigan","U.S.","Findlay","OH","www.marathonpetroleum.com","Public","Includes revenues from discontinued operations. Excise taxes have been deducted. Market value as of July 17, 2023.",1.80012e+11,1.4516e+10,8.9904e+10,5.9544e+10
"17",17,"Phillips 66","PSX","Energy","Petroleum Refining","yes","false","false","no",12,"yes","no","no","yes","no",13000,46727,53,737.1,"Mark E. Lashier","U.S.","Houston","TX","www.phillips66.com","Public","Excise taxes have been deducted. Market value as of July 17, 2023.",1.75702e+11,1.1024e+10,7.6442e+10,4.6727e+10
"18",18,"Valero Energy","VLO","Energy","Petroleum Refining","yes","false","false","no",12,"yes","no","no","yes","no",9743,51351,58,1139.6,"R. Lane Riggs","U.S.","San Antonio","TX","www.valero.com","Public","Excise taxes have been deducted. Market value as of July 17, 2023.",1.71189e+11,1.1528e+10,6.0982e+10,5.1351e+10
"19",19,"Ford Motor","F","Motor Vehicles & Parts","Motor Vehicles & Parts","no","false","false","no",3,"yes","no","no","yes","no",173000,50400,15.9,-111,"James D. Farley Jr.","U.S.","Dearborn","MI","www.ford.com","Public","Market value as of July 17, 2023.",1.58057e+11,1.981e+09,2.55884e+11,5.04e+10
"20",20,"Home Depot","HD","Retailing","Specialty Retailers: Other","yes","false","false","no",-3,"no","yes","no","yes","no",471600,299534,4.1,4.1,"Edward P. Decker","U.S.","Atlanta","GA","www.homedepot.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",1.57403e+11,1.7105e+10,7.6445e+10,2.99534e+11
"21",21,"General Motors","GM","Motor Vehicles & Parts","Motor Vehicles & Parts","yes","false","true","yes",4,"yes","no","no","yes","no",167000,51155,23.4,-0.8,"Mary T. Barra","U.S.","Detroit","MI","www.gm.com","Public","Market value as of July 17, 2023.",1.56735e+11,9.934e+09,2.64037e+11,5.1155e+10
"22",22,"Elevance Health","ELV","Health Care","Health Care: Insurance and Managed Care","yes","false","true","yes",-2,"no","yes","no","yes","yes",102300,109098,13,-1.3,"Gail K. Boudreaux","U.S.","Indianapolis","IN","www.elevancehealth.com","Public","Market value as of July 17, 2023.",1.56595e+11,6.025e+09,1.02772e+11,1.09098e+11
"23",23,"JPMorgan Chase","JPM","Financials","Commercial Banks","yes","false","false","yes",1,"yes","no","no","yes","no",293723,383549,21.7,-22.1,"James Dimon","U.S.","New York","NY","www.jpmorganchase.com","Public","Market value as of July 17, 2023.",1.54792e+11,3.7676e+10,3.665743e+12,3.83549e+11
"24",24,"Kroger","KR","Food & Drug Stores","Food and Drug Stores","yes","false","false","yes",-3,"no","yes","no","yes","no",430000,35421,7.5,35.6,"W. Rodney McMullen","U.S.","Cincinnati","OH","www.thekrogerco.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",1.48258e+11,2.244e+09,4.9623e+10,3.5421e+10
"25",25,"Centene","CNC","Health Care","Health Care: Insurance and Managed Care","yes","false","true","yes",1,"yes","no","no","yes","no",74300,34810,14.7,-10.8,"Sarah M. London","U.S.","St. Louis","MO","www.centene.com","Public","Market value as of July 17, 2023.",1.44547e+11,1.202e+09,7.687e+10,3.481e+10
"26",26,"Verizon Communications","VZ","Telecommunications","Telecommunications","yes","false","false","no",-3,"no","yes","no","yes","no",117100,163333,2.4,-3.7,"Hans E. Vestberg","U.S.","New York","NY","www.verizon.com","Public","Market value as of July 17, 2023.",1.36835e+11,2.1256e+10,3.7968e+11,1.63333e+11
"27",27,"Walgreens Boots Alliance","WBA","Food & Drug Stores","Food and Drug Stores","yes","false","true","yes",-9,"no","yes","no","yes","no",262500,29836,-10.7,70.6,"Ginger Graham","U.S.","Deerfield","IL","www.walgreensbootsalliance.com","Public","Figures are for fiscal year ended Aug. 31, 2022. Market value as of July 17, 2023.",1.32703e+11,4.337e+09,9.0124e+10,2.9836e+10
"28",28,"Fannie Mae","FNMA","Financials","Diversified Financials","yes","false","true","yes",5,"yes","no","no","yes","no",8000,475,19.7,-41.7,"Priscilla Almodovar","U.S.","Washington","DC","www.fanniemae.com","Public","Company's senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 17, 2023.",1.21596e+11,1.2923e+10,4.305288e+12,4.75e+08
"29",29,"Comcast","CMCSA","Telecommunications","Telecommunications","yes","false","false","no",-1,"no","yes","no","yes","yes",186000,159831,4.3,-62.1,"Brian L. Roberts","U.S.","Philadelphia","PA","www.comcastcorporation.com","Public","Market value as of July 17, 2023.",1.21427e+11,5.37e+09,2.57275e+11,1.59831e+11
"30",30,"AT&T","T","Telecommunications","Telecommunications","no","false","false","no",-17,"no","yes","no","yes","no",160700,137250,-28.5,-142.4,"John T. Stankey","U.S.","Dallas","TX","www.att.com","Public","Market value as of July 17, 2023.",1.20741e+11,8.524e+09,4.02853e+11,1.3725e+11
"31",31,"Meta Platforms","META","Technology","Internet Services and Retailing","yes","true","false","yes",-4,"no","yes","no","yes","no",86482,549484,-1.1,-41.1,"Mark Zuckerberg","U.S.","Menlo Park","CA","investor.fb.com","Public","Market value as of July 17, 2023.",1.16609e+11,2.32e+10,1.85727e+11,5.49484e+11
"32",32,"Bank of America","BAC","Financials","Commercial Banks","yes","false","false","yes",4,"yes","no","no","yes","yes",216823,228780,22.6,-13.9,"Brian T. Moynihan","U.S.","Charlotte","NC","www.bankofamerica.com","Public","Market value as of July 17, 2023.",1.15053e+11,2.7528e+10,3.051375e+12,2.2878e+11
"33",33,"Target","TGT","Retailing","General Merchandisers","yes","false","false","no",-1,"no","yes","no","yes","yes",440000,76250,2.9,-60,"Brian C. Cornell","U.S.","Minneapolis","MN","www.target.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",1.0912e+11,2.78e+09,5.3335e+10,7.625e+10
"34",34,"Dell Technologies","DELL","Technology","Computers, Office Equipment","yes","true","false","no",-3,"no","yes","no","yes","no",133000,29402,-4.4,-56.1,"Michael S. Dell","U.S.","Round Rock","TX","www.delltechnologies.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",1.02301e+11,2.442e+09,8.9611e+10,2.9402e+10
"35",35,"Archer Daniels Midland","ADM","Food, Beverages & Tobacco","Food Production","yes","false","false","yes",3,"yes","no","no","yes","no",41181,43530,19.1,60.2,"Juan R. Luciano","U.S.","Chicago","IL","www.adm.com","Public","Market value as of July 17, 2023.",1.01556e+11,4.34e+09,5.9774e+10,4.353e+10
"36",36,"Citigroup","C","Financials","Commercial Banks","yes","false","true","yes",8,"yes","no","no","yes","no",238104,91270,26.6,-32.4,"Jane Fraser","U.S.","New York","NY","www.citigroup.com","Public","Market value as of July 17, 2023.",1.01078e+11,1.4845e+10,2.416676e+12,9.127e+10
"37",37,"United Parcel Service","UPS","Transportation","Mail, Package, and Freight Delivery","yes","false","true","yes",-3,"no","yes","no","yes","no",404700,166189,3.1,-10.4,"Carol B. Tomé","U.S.","Atlanta","GA","www.ups.com","Public","Market value as of July 17, 2023.",1.00338e+11,1.1548e+10,7.1124e+10,1.66189e+11
"38",38,"Pfizer","PFE","Health Care","Pharmaceuticals","yes","false","false","yes",5,"yes","no","no","yes","no",83000,230292,23.4,42.7,"Albert Bourla","U.S.","New York","NY","www.pfizer.com","Public","Market value as of July 17, 2023.",1.0033e+11,3.1372e+10,1.97205e+11,2.30292e+11
"39",39,"Lowe's","LOW","Retailing","Specialty Retailers: Other","yes","false","false","no",-4,"no","yes","no","yes","no",244500,119253,0.8,-23.8,"Marvin R. Ellison","U.S.","Mooresville","NC","www.lowes.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",9.7059e+10,6.437e+09,4.3708e+10,1.19253e+11
"40",40,"Johnson & Johnson","JNJ","Health Care","Pharmaceuticals","yes","false","false","yes",-3,"no","yes","no","yes","no",152700,483576,1.2,-14.1,"Joaquin Duato","U.S.","New Brunswick","NJ","www.jnj.com","Public","Market value as of July 17, 2023.",9.4943e+10,1.7941e+10,1.87378e+11,4.83576e+11
"41",41,"FedEx","FDX","Transportation","Mail, Package, and Freight Delivery","yes","false","false","no",-2,"no","yes","no","yes","no",464400,57431,11.4,-26.9,"Rajesh Subramaniam","U.S.","Memphis","TN","www.fedex.com","Public","Figures are for fiscal year ended May 31, 2022. Market value as of July 17, 2023.",9.3512e+10,3.826e+09,8.5994e+10,5.7431e+10
"42",42,"Humana","HUM","Health Care","Health Care: Insurance and Managed Care","yes","false","false","no",-2,"no","yes","no","yes","no",67100,60719,11.8,-4.3,"Bruce D. Broussard","U.S.","Louisville","KY","www.humana.com","Public","Market value as of July 17, 2023.",9.287e+10,2.806e+09,4.3055e+10,6.0719e+10
"43",43,"Energy Transfer","ET","Energy","Pipelines","yes","false","false","yes",11,"yes","no","no","yes","no",12565,38590,33.3,-13.1,"Thomas E. Long/Marshall S. McCrea III","U.S.","Dallas","TX","www.energytransfer.com","Public","A partnership. Market value as of July 17, 2023.",8.9876e+10,4.756e+09,1.05643e+11,3.859e+10
"44",44,"State Farm Insurance","","Financials","Insurance: Property and Casualty (Mutual)","no","false","false","yes",-2,"no","yes","no","yes","no",60519,NA,8.6,-619.5,"Michael L. Tipsord","U.S.","Bloomington","IL","www.statefarm.com","Private","",8.9328e+10,6.654e+09,3.18243e+11,NA
"45",45,"Freddie Mac","FMCC","Financials","Diversified Financials","yes","false","false","yes",11,"yes","no","no","yes","no",7819,266,31.6,-23,"Michael J. DeVito","U.S.","McLean","VA","www.freddiemac.com","Public","Company&#039;s senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 17, 2023.",8.6717e+10,9.327e+09,3.208333e+12,2.66e+08
"46",46,"PepsiCo","PEP","Food, Beverages & Tobacco","Food Consumer Products","yes","false","false","yes",-1,"no","yes","no","yes","no",315000,251085,8.7,17,"Ramon L. Laguarta","U.S.","Purchase","NY","www.pepsico.com","Public","Market value as of July 17, 2023.",8.6392e+10,8.91e+09,9.2187e+10,2.51085e+11
"47",47,"Wells Fargo","WFC","Financials","Commercial Banks","yes","false","false","no",-6,"no","yes","no","yes","no",238000,141188,0.5,-38.8,"Charles W. Scharf","U.S.","San Francisco","CA","www.wellsfargo.com","Public","Market value as of July 17, 2023.",8.2859e+10,1.3182e+10,1.881016e+12,1.41188e+11
"48",48,"Walt Disney","DIS","Media","Entertainment","yes","false","false","yes",5,"yes","no","no","yes","no",195800,182920,22.7,57.6,"Robert A. Iger","U.S.","Burbank","CA","www.thewaltdisneycompany.com","Public","Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",8.2722e+10,3.145e+09,2.03631e+11,1.8292e+11
"49",49,"ConocoPhillips","COP","Energy","Mining, Crude-Oil Production","yes","false","false","no",28,"yes","no","no","yes","no",9500,120777,69.9,131.2,"Ryan M. Lance","U.S.","Houston","TX","www.conocophillips.com","Public","Market value as of July 17, 2023.",8.2156e+10,1.868e+10,9.3829e+10,1.20777e+11
"50",50,"Tesla","TSLA","Motor Vehicles & Parts","Motor Vehicles & Parts","yes","true","false","yes",15,"yes","no","no","yes","no",127855,656425,51.4,127.5,"Elon Musk","U.S.","Austin","TX","www.tesla.com","Public","Market value as of July 17, 2023.",8.1462e+10,1.2556e+10,8.2338e+10,6.56425e+11
"51",51,"Procter & Gamble","PG","Household Products","Household and Personal Products","yes","false","false","yes",-4,"no","yes","no","yes","no",106000,350781,5.3,3,"Jon R. Moeller","U.S.","Cincinnati","OH","www.pg.com","Public","Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",8.0187e+10,1.4742e+10,1.17208e+11,3.50781e+11
"52",52,"General Electric","GE","Industrials","Industrial Machinery","yes","false","false","yes",-4,"no","yes","no","yes","no",172000,104231,3.2,NA,"H. Lawrence Culp Jr.","U.S.","Boston","MA","www.ge.com","Public","Market value as of July 17, 2023.",7.6555e+10,2.25e+08,1.87788e+11,1.04231e+11
"53",53,"Albertsons","ACI","Food & Drug Stores","Food and Drug Stores","yes","false","false","no",-1,"no","yes","no","yes","no",195750,11132,3.2,90.5,"Vivek Sankaran","U.S.","Boise","ID","www.albertsonscompanies.com","Public","Figures are for fiscal year ended Feb. 28, 2023. Market value as of July 17, 2023.",7.1887e+10,1.62e+09,2.8123e+10,1.1132e+10
"54",54,"MetLife","MET","Financials","Insurance: Life, Health (stock)","yes","false","false","yes",-4,"no","yes","no","yes","yes",45000,44867,-1.7,-61.3,"Michel A. Khalaf","U.S.","New York","NY","www.metlife.com","Public","Market value as of July 17, 2023.",6.9898e+10,2.539e+09,6.66611e+11,4.4867e+10
"55",55,"Goldman Sachs Group","GS","Financials","Commercial Banks","yes","false","false","yes",2,"yes","no","no","yes","no",48500,113964,5.7,-48,"David M. Solomon","U.S.","New York","NY","www.goldmansachs.com","Public","Market value as of July 17, 2023.",6.8711e+10,1.1261e+10,1.441799e+12,1.13964e+11
"56",56,"Sysco","SYY","Wholesalers","Wholesalers: Food and Grocery","yes","false","false","yes",14,"yes","no","no","yes","no",70510,39202,33.8,159.2,"Kevin P. Hourican","U.S.","Houston","TX","www.sysco.com","Public","Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",6.8636e+10,1.359e+09,2.2086e+10,3.9202e+10
"57",57,"RTX","RTX","Aerospace & Defense","Aerospace & Defense","yes","false","false","yes",1,"yes","no","no","yes","no",182000,143292,4.2,34.5,"Gregory J. Hayes","U.S.","Arlington","VA","www.rtx.com","Public","Changed name from Raytheon Technologies, July 17, 2023. Market value as of July 17, 2023.",6.7074e+10,5.197e+09,1.58864e+11,1.43292e+11
"58",58,"Boeing","BA","Aerospace & Defense","Aerospace & Defense","no","false","false","yes",2,"yes","no","no","yes","no",156000,127283,6.9,NA,"David L. Calhoun","U.S.","Arlington","VA","www.boeing.com","Public","Market value as of July 17, 2023.",6.6608e+10,4.935e+09,1.371e+11,1.27283e+11
"59",59,"StoneX Group","SNEX","Financials","Diversified Financials","yes","false","false","yes",28,"yes","no","no","yes","no",3615,2138,55.3,78.1,"Sean M. O&#039;Connor","U.S.","New York","NY","www.stonex.com","Public","Figures are for fiscal year ended Sept. 30, 2022. Company reports sale of physical commodities on a gross basis. Market value as of July 17, 2023.",6.6036e+10,2.07e+08,1.986e+10,2.138e+09
"60",60,"Lockheed Martin","LMT","Aerospace & Defense","Aerospace & Defense","yes","false","false","yes",-5,"no","yes","no","yes","no",116000,120319,-1.6,-9.2,"James D. Taiclet Jr.","U.S.","Bethesda","MD","www.lockheedmartin.com","Public","Market value as of July 17, 2023.",6.5984e+10,5.732e+09,5.288e+10,1.20319e+11
"61",61,"Morgan Stanley","MS","Financials","Commercial Banks","yes","false","false","yes",0,"no","no","no","yes","no",82427,147674,7.9,-26.6,"James P. Gorman","U.S.","New York","NY","www.morganstanley.com","Public","Market value as of July 17, 2023.",6.5936e+10,1.1029e+10,1.180231e+12,1.47674e+11
"62",62,"Intel","INTC","Technology","Semiconductors and Other Electronic Components","yes","false","false","yes",-16,"no","yes","no","yes","no",131900,136268,-20.2,-59.7,"Patrick P. Gelsinger","U.S.","Santa Clara","CA","www.intel.com","Public","Market value as of July 17, 2023.",6.3054e+10,8.014e+09,1.82103e+11,1.36268e+11
"63",63,"HP","HPQ","Technology","Computers, Office Equipment","yes","false","false","yes",-4,"no","yes","no","yes","yes",58000,28919,-0.8,-50.7,"Enrique J. Lores","U.S.","Palo Alto","CA","www.hp.com","Public","Figures are for fiscal year ended Oct. 31, 2022. Market value as of July 17, 2023.",6.2983e+10,3.203e+09,3.8587e+10,2.8919e+10
"64",64,"TD Synnex","SNX","Wholesalers","Wholesalers: Electronics and Office Equipment","yes","false","false","yes",45,"yes","no","no","yes","no",28500,9061,97.2,64.9,"Richard T. Hume","U.S.","Fremont","CA","www.tdsynnex.com","Public","Figures are for fiscal year ended Nov. 30, 2022. Market value as of July 17, 2023.",6.2344e+10,6.51e+08,2.9734e+10,9.061e+09
"65",65,"IBM","IBM","Technology","Information Technology Services","yes","false","false","yes",-16,"no","yes","no","yes","no",303100,118913,-16.3,-71.5,"Arvind Krishna","U.S.","Armonk","NY","www.ibm.com","Public","Market value as of July 17, 2023.",6.053e+10,1.639e+09,1.27243e+11,1.18913e+11
"66",66,"HCA Healthcare","HCA","Health Care","Health Care: Medical Facilities","yes","false","false","yes",-4,"no","yes","no","yes","no",250500,73107,2.5,-18.9,"Samuel N. Hazen","U.S.","Nashville","TN","www.hcahealthcare.com","Public","Market value as of July 17, 2023.",6.0233e+10,5.643e+09,5.2438e+10,7.3107e+10
"67",67,"Prudential Financial","PRU","Financials","Insurance: Life, Health (stock)","no","false","false","no",-16,"no","yes","no","yes","no",39583,30363,-15.3,-118.6,"Charles F. Lowrey","U.S.","Newark","NJ","www.prudential.com","Public","Market value as of July 17, 2023.",6.005e+10,1.438e+09,6.89917e+11,3.0363e+10
"68",68,"Caterpillar","CAT","Industrials","Construction and Farm Machinery","yes","false","false","yes",5,"yes","no","no","yes","no",109100,118161,16.6,3.3,"D. James Umpleby III","U.S.","Irving","TX","www.caterpillar.com","Public","Market value as of July 17, 2023.",5.9427e+10,6.705e+09,8.1943e+10,1.18161e+11
"69",69,"Merck","MRK","Health Care","Pharmaceuticals","yes","false","false","yes",2,"yes","no","no","yes","yes",68000,270081,15.8,11.3,"Robert M. Davis","U.S.","Rahway","NJ","www.merck.com","Public","Market value as of July 17, 2023.",5.9283e+10,1.4519e+10,1.0916e+11,2.70081e+11
"70",70,"World Kinect","WKC","Energy","Energy","yes","false","false","yes",41,"yes","no","no","yes","no",5214,1585,88.4,54.8,"Michael J. Kasbar","U.S.","Miami","FL","www.world-kinect.com","Public","Changed name from World Fuel Services, June 16, 2023. Market value as of July 17, 2023.",5.9043e+10,1.14e+08,8.165e+09,1.585e+09
"71",71,"New York Life Insurance","","Financials","Insurance: Life, Health (Mutual)","no","false","false","yes",1,"yes","no","no","yes","no",15050,NA,14.2,-506.6,"Craig DeSanto","U.S.","New York","NY","www.newyorklife.com","Private","",5.8445e+10,1.127e+09,3.92126e+11,NA
"72",72,"Enterprise Products Partners","EPD","Energy","Pipelines","yes","false","false","yes",17,"yes","no","no","yes","no",7300,56224,42.6,18.4,"A. James Teague/W. Randall Fowler","U.S.","Houston","TX","www.enterpriseproducts.com","Public","A partnership. Market value as of July 17, 2023.",5.8186e+10,5.49e+09,6.8108e+10,5.6224e+10
"73",73,"AbbVie","ABBV","Health Care","Pharmaceuticals","yes","false","false","no",-10,"no","yes","no","yes","yes",50000,281151,3.3,2.5,"Richard A. Gonzalez","U.S.","North Chicago","IL","www.abbvie.com","Public","Market value as of July 17, 2023.",5.8054e+10,1.1836e+10,1.38805e+11,2.81151e+11
"74",74,"Plains GP Holdings","PAGP","Energy","Pipelines","yes","false","false","no",14,"yes","no","no","yes","no",4100,2551,36.3,180,"Wilfred C.W. Chiang","U.S.","Houston","TX","www.plains.com","Public","A partnership. Market value as of July 17, 2023.",5.7342e+10,1.68e+08,2.9207e+10,2.551e+09
"75",75,"Dow","DOW","Chemicals","Chemicals","yes","false","false","yes",-11,"no","yes","no","yes","yes",37800,38812,3.5,-27.4,"James R. Fitterling","U.S.","Midland","MI","www.dow.com","Public","Market value as of July 17, 2023.",5.6902e+10,4.582e+09,6.0603e+10,3.8812e+10
"76",76,"American International Group","AIG","Financials","Insurance: Property and Casualty (Stock)","yes","false","false","no",-9,"no","yes","no","yes","no",26200,36948,8.4,9.5,"Peter S. Zaffino","U.S.","New York","NY","www.aig.com","Public","Market value as of July 17, 2023.",5.6437e+10,1.0276e+10,5.26634e+11,3.6948e+10
"77",77,"American Express","AXP","Financials","Diversified Financials","yes","false","false","yes",8,"yes","no","no","yes","yes",77300,122734,27.4,-6.8,"Stephen J. Squeri","U.S.","New York","NY","www.americanexpress.com","Public","Market value as of July 17, 2023.",5.5625e+10,7.514e+09,2.28354e+11,1.22734e+11
"78",78,"Publix Super Markets","","Food & Drug Stores","Food and Drug Stores","yes","false","false","yes",-2,"no","yes","no","yes","yes",242000,NA,13.5,-33.9,"Randall T. Jones Sr.","U.S.","Lakeland","FL","www.publix.com","Private","",5.4942e+10,2.918e+09,3.1047e+10,NA
"79",79,"Charter Communications","CHTR","Telecommunications","Telecommunications","yes","false","false","yes",-10,"no","yes","no","yes","no",101700,60477,4.5,8.6,"Christopher L. Winfrey","U.S.","Stamford","CT","www.charter.com","Public","Market value as of July 17, 2023.",5.4022e+10,5.055e+09,1.44523e+11,6.0477e+10
"80",80,"Tyson Foods","TSN","Food, Beverages & Tobacco","Food Production","yes","false","false","yes",1,"yes","no","no","yes","no",142000,21096,13.2,6.3,"Donnie D. King","U.S.","Springdale","AR","www.tysonfoods.com","Public","Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",5.3282e+10,3.238e+09,3.6821e+10,2.1096e+10
"81",81,"Deere","DE","Industrials","Construction and Farm Machinery","yes","false","false","yes",3,"yes","no","no","yes","no",82239,122346,19.4,19.6,"John C. May","U.S.","Moline","IL","www.deere.com","Public","Figures are for fiscal year ended Oct. 31, 2022. Market value as of July 17, 2023.",5.2577e+10,7.131e+09,9.003e+10,1.22346e+11
"82",82,"Cisco Systems","CSCO","Technology","Network and Other Communications Equipment","yes","false","false","yes",-8,"no","yes","no","yes","yes",83300,214109,3.5,11.5,"Charles H. Robbins","U.S.","San Jose","CA","www.cisco.com","Public","Figures are for fiscal year ended July 31, 2022. Market value as of July 17, 2023.",5.1557e+10,1.1812e+10,9.4002e+10,2.14109e+11
"83",83,"Nationwide","","Financials","Insurance: Property and Casualty (Mutual)","yes","false","false","yes",-3,"no","yes","no","yes","yes",24791,NA,8.6,-38.9,"Kirt A. Walker","U.S.","Columbus","OH","www.nationwide.com","Private","",5.145e+10,9.88e+08,2.64511e+11,NA
"84",84,"Allstate","ALL","Financials","Insurance: Property and Casualty (Stock)","no","false","false","no",-18,"no","yes","no","yes","no",54250,29180,-3.4,-182,"Thomas J. Wilson","U.S.","Northbrook","IL","www.allstate.com","Public","Market value as of July 17, 2023.",5.1412e+10,1.311e+09,9.7957e+10,2.918e+10
