"","Rank","Company","Ticker","Sector","Industry","Profitable","Founder_is_CEO","FemaleCEO","Growth_in_Jobs","Change_in_Rank","Gained_in_Rank","Dropped_in_Rank","Newcomer_to_the_Fortune500","Global500","Best_Companies","Number_of_employees","MarketCap_March31_M","RevenuePercentChange","ProfitsPercentChange","CEO","Country","HeadquartersCity","HeadquartersState","Website","CompanyType","Footnote","Revenues","Abs_Profits","Assets","MarketCap_March31"
"530",530,"Carlisle","CSL","Materials","Building Materials, Glass","yes","false","false","yes",74,"yes","no","n/a","no","no",12300,11548,31.1,119.1,"D. Christian Koch","U.S.","Scottsdale","AZ","www.carlisle.com","Public","Market value as of March 31, 2023.",6.592e+09,9.24e+08,7.222e+09,1.1548e+10
"531",531,"DoorDash","DASH","Technology","Internet Services and Retailing","no","true","false","yes",90,"yes","no","n/a","no","no",16800,24920,34.7,NA,"Tony Xu","U.S.","San Francisco","CA","ir.doordash.com","Public","Market value as of March 31, 2023.",6.583e+09,1.365e+09,9.789e+09,2.492e+10
"532",532,"KBR","KBR","Technology","Information Technology Services","yes","false","false","yes",-72,"no","yes","n/a","no","no",30000,7518,-10.6,955.6,"Stuart J.B. Bradie","U.S.","Houston","TX","www.kbr.com","Public","Market value as of March 31, 2023.",6.564e+09,1.9e+08,5.566e+09,7.518e+09
"533",533,"APi Group","APG","Engineering & Construction","Engineering & Construction","yes","false","false","yes",168,"yes","no","n/a","no","no",26000,5272,66.4,55.3,"Russell A. Becker","U.S.","New Brighton","MN","www.apigroupcorp.com","Public","Market value as of March 31, 2023.",6.558e+09,7.3e+07,8.091e+09,5.272e+09
"534",534,"Cincinnati Financial","CINF","Financials","Insurance: Property and Casualty (Stock)","no","false","false","no",-167,"no","yes","n/a","no","no",5148,17616,-31.9,-116.5,"Steven J. Johnston","U.S.","Fairfield","OH","www.cinfin.com","Public","Market value as of March 31, 2023.",6.557e+09,4.86e+08,2.9736e+10,1.7616e+10
"535",535,"Darling Ingredients","DAR","Food, Beverages & Tobacco","Food Production","yes","false","false","yes",96,"yes","no","n/a","no","no",14600,9339,37.8,13.3,"Randall C. Stuewe","U.S.","Irving","TX","www.darlingii.com","Public","Market value as of March 31, 2023.",6.532e+09,7.38e+08,9.202e+09,9.339e+09
"536",536,"Patterson","PDCO","Health Care","Wholesalers: Health Care","yes","false","false","no",-7,"no","yes","n/a","no","no",7700,2616,9.9,30.3,"Donald J. Zurbay","U.S.","St. Paul","MN","www.pattersoncompanies.com","Public","Figures are for fiscal year ended April 30, 2022. Market value as of March 31, 2023.",6.499e+09,2.03e+08,2.742e+09,2.616e+09
"537",537,"T. Rowe Price","TROW","Financials","Securities","yes","false","false","yes",-94,"no","yes","n/a","no","no",7868,25348,-15.4,-49.5,"Robert W. Sharps","U.S.","Baltimore","MD","www.troweprice.com","Public","Market value as of March 31, 2023.",6.488e+09,1.558e+09,1.1643e+10,2.5348e+10
"538",538,"Cornerstone Building Brands","","Materials","Building Materials, Glass","yes","false","true","no",21,"yes","no","n/a","no","no",19500,NA,16.1,-36.9,"Rose Lee","U.S.","Cary","NC","www.cornerstonebuildingbrands.com","Private","Went private, July 25, 2022.",6.48e+09,4.2e+08,7.194e+09,NA
"539",539,"Martin Marietta Materials","MLM","Materials","Building Materials, Glass","yes","false","false","no",29,"yes","no","n/a","no","no",9400,22051,17.8,23.4,"C. Howard Nye","U.S.","Raleigh","NC","www.martinmarietta.com","Public","Includes revenues from discontinued operations. Market value as of March 31, 2023.",6.469e+09,8.67e+08,1.4994e+10,2.2051e+10
